,abertura,alta,baixa,fechamento,volume,ticker
2025-11-07,31.22,32.18,30.85,32.18,97315600.0,PETR4
2025-11-10,32.3,32.55,31.93,32.36,41064200.0,PETR4
2025-11-11,32.54,33.44,32.45,33.2,68221300.0,PETR4
2025-11-12,33.26,33.26,32.08,32.35,67646400.0,PETR4
2025-11-13,32.36,32.94,32.32,32.49,38517200.0,PETR4
2025-11-14,32.6,33.17,32.58,32.7,27371300.0,PETR4
2025-11-17,32.76,33.08,32.73,32.88,63708200.0,PETR4
2025-11-18,32.7,33.17,32.67,32.99,26520500.0,PETR4
2025-11-19,32.8,32.98,32.54,32.82,48719300.0,PETR4
2025-11-21,32.56,32.74,32.36,32.57,40869300.0,PETR4
2025-11-24,32.56,32.75,32.36,32.54,38665600.0,PETR4
2025-11-25,32.35,32.44,32.09,32.28,28431100.0,PETR4
2025-11-26,32.38,32.41,32.1,32.23,25042100.0,PETR4
2025-11-27,32.28,32.4,32.2,32.4,16087400.0,PETR4
2025-11-28,32.27,32.31,31.29,31.79,60420500.0,PETR4
2025-12-01,31.95,32.17,31.57,31.85,29489100.0,PETR4
2025-12-02,31.93,32.07,31.44,32.07,25574100.0,PETR4
2025-12-03,32.15,32.5,32.15,32.31,36630000.0,PETR4
2025-12-04,32.49,32.75,32.45,32.52,33009700.0,PETR4
2025-12-05,32.5,32.91,31.37,31.37,74495100.0,PETR4
2025-11-07,64.85,64.86,64.02,64.78,20800300.0,VALE3
2025-11-10,65.06,65.54,64.91,65.21,12689400.0,VALE3
2025-11-11,65.21,65.66,64.76,65.04,25496500.0,VALE3
2025-11-12,65.26,65.95,65.26,65.76,26550300.0,VALE3
2025-11-13,65.76,66.45,65.31,65.67,19058500.0,VALE3
2025-11-14,64.85,65.54,64.61,65.27,16374400.0,VALE3
2025-11-17,65.6,65.77,64.91,65.22,20150800.0,VALE3
2025-11-18,64.45,65.29,64.3,65.02,22468700.0,VALE3
2025-11-19,65.02,65.26,64.7,64.95,16523800.0,VALE3
2025-11-21,64.55,65.27,64.13,65.16,20272600.0,VALE3
2025-11-24,65.01,65.52,64.78,65.09,20462800.0,VALE3
2025-11-25,65.16,65.91,65.16,65.6,18275300.0,VALE3
2025-11-26,65.99,66.89,65.92,66.58,33408500.0,VALE3
2025-11-27,66.5,66.65,66.14,66.33,9739100.0,VALE3
2025-11-28,67.7,67.81,67.04,67.4,46007200.0,VALE3
2025-12-01,67.8,68.13,67.5,67.92,15657000.0,VALE3
2025-12-02,68.1,68.72,67.76,68.48,22567200.0,VALE3
2025-12-03,68.86,71.1,68.82,70.69,42361200.0,VALE3
2025-12-04,70.7,72.39,70.69,71.92,38019900.0,VALE3
2025-12-05,71.96,72.33,69.92,70.22,40196800.0,VALE3
2025-11-07,40.13,40.2,39.77,40.17,12336800.0,ITUB4
2025-11-10,40.35,40.52,40.22,40.44,16070300.0,ITUB4
2025-11-11,40.6,41.37,40.44,41.22,36203100.0,ITUB4
2025-11-12,41.22,41.35,40.13,40.28,35717600.0,ITUB4
2025-11-13,40.46,41.05,40.18,40.44,32705800.0,ITUB4
2025-11-14,40.42,40.68,40.21,40.6,16511400.0,ITUB4
2025-11-17,40.6,40.7,40.19,40.3,42704000.0,ITUB4
2025-11-18,39.95,40.35,39.9,40.1,16647900.0,ITUB4
2025-11-19,40.05,40.2,39.74,39.85,25016200.0,ITUB4
2025-11-21,39.85,40.03,39.55,39.97,16021800.0,ITUB4
2025-11-24,39.92,40.17,39.72,39.82,28169900.0,ITUB4
2025-11-25,40.0,40.22,39.73,39.91,29462100.0,ITUB4
2025-11-26,40.1,40.91,39.97,40.85,21603200.0,ITUB4
2025-11-27,40.66,40.88,40.58,40.71,9193600.0,ITUB4
2025-11-28,41.27,41.91,41.2,41.64,43991900.0,ITUB4
2025-12-01,41.71,41.75,41.15,41.3,15449500.0,ITUB4
2025-12-02,41.46,42.22,41.44,42.22,20558900.0,ITUB4
2025-12-03,42.3,42.46,41.92,42.22,22485100.0,ITUB4
2025-12-04,42.36,43.26,42.35,43.26,22523800.0,ITUB4
2025-12-05,43.31,43.4,41.15,41.26,38672000.0,ITUB4
2025-11-07,18.66,18.73,18.47,18.73,15628600.0,BBDC4
2025-11-10,18.79,19.19,18.77,19.08,28034500.0,BBDC4
2025-11-11,19.13,19.63,19.09,19.49,39993600.0,BBDC4
2025-11-12,19.5,19.56,19.26,19.44,30776900.0,BBDC4
2025-11-13,19.39,19.84,19.37,19.48,32477500.0,BBDC4
2025-11-14,19.43,19.74,19.38,19.47,26233700.0,BBDC4
2025-11-17,19.43,19.5,19.18,19.32,27809900.0,BBDC4
2025-11-18,19.15,19.23,19.02,19.09,31226100.0,BBDC4
2025-11-19,19.01,19.18,18.86,18.9,25755800.0,BBDC4
2025-11-21,19.08,19.08,18.64,18.79,33815400.0,BBDC4
2025-11-24,18.79,18.89,18.7,18.8,32487300.0,BBDC4
2025-11-25,18.81,19.11,18.8,18.95,28601700.0,BBDC4
2025-11-26,19.03,19.6,18.98,19.52,33913900.0,BBDC4
2025-11-27,19.5,19.6,19.45,19.48,9964400.0,BBDC4
